证券代码,证券名称,省份,行业类别,2018净利润（万元）
430155.OC,康辰亚奥,北京,技术硬件与设备,-517.6721
430156.OC,科曼股份,上海,汽车与汽车零部件,"2,837.59"
430157.OC,腾龙电子,上海,软件与服务,879.8163
430158.OC,北方科诚,北京,软件与服务,318.66
430159.OC,创世生态,天津,资本品,"2,003.70"
430160.OC,三泰晟驰,天津,软件与服务,96.156
430161.OC,光谷信息,湖北,软件与服务,"4,864.94"
430163.OC,三众能源,北京,商业和专业服务,811.962
430164.OC,大医股份,北京,软件与服务,-604.3258
430165.OC,光宝联合,北京,电信业务,"1,862.64"
430167.OC,四利通,北京,能源,-938.3538
430168.OC,博维仕,北京,软件与服务,-907.8481
430169.OC,融智通,北京,软件与服务,174.7158
430170.OC,金易通,北京,资本品,"-2,066.46"
430171.OC,电信易通,北京,技术硬件与设备,800.5508
430172.OC,瑞达恩,北京,资本品,29.9073
430173.OC,欧美城,北京,零售业,-870.2103
430174.OC,沃捷传媒,北京,媒体与娱乐,"1,324.15"
430175.OC,科新生物,上海,制药、生物科技和生命科学,"-8,960.66"
430176.OC,中教股份,北京,软件与服务,"-5,307.69"
430177.OC,点点客,上海,软件与服务,"-14,471.52"
430178.OC,白虹软件,上海,软件与服务,552.0377
430179.OC,宇昂科技,上海,原材料,"-1,405.59"
430180.OC,东方瑞威,北京,技术硬件与设备,774.1004
430182.OC,全网数商,北京,软件与服务,"1,275.19"
430184.OC,北方跃龙,北京,软件与服务,-654.4696
430185.OC,普瑞物联,北京,技术硬件与设备,-42.7365
430186.OC,国承瑞泰,北京,商业和专业服务,-495.7147
430188.OC,奥贝克,北京,半导体产品与设备,11.4215
430189.OC,摩点文娱,北京,软件与服务,"-4,970.61"
430190.OC,新瑞理想,北京,软件与服务,0.5851
430191.OC,波尔通信,北京,软件与服务,-808.5107
430193.OC,微传播,北京,软件与服务,"10,761.98"
430195.OC,欧泰克,北京,资本品,-769.6759
430197.OC,津伦股份,天津,资本品,-258.2168
430198.OC,微创光电,湖北,技术硬件与设备,"4,259.43"
430199.OC,了望股份,北京,媒体与娱乐,-299.9044
430200.OC,时代地智,湖北,软件与服务,152.3337
430201.OC,腾实信,北京,软件与服务,"-1,312.80"
430203.OC,兴和鹏,北京,能源,-278.427
430204.OC,石竹科技,北京,软件与服务,36.9827
430205.OC,ST亿房网,湖北,软件与服务,"-4,082.25"
430207.OC,威明德,湖北,资本品,-427.2883
430208.OC,优炫软件,北京,软件与服务,"5,330.85"
430209.OC,康孚科技,北京,资本品,144.8994
430211.OC,丰电科技,北京,商业和专业服务,"-1,841.93"
430213.OC,乐升股份,北京,软件与服务,——
430214.OC,建中医疗,上海,医疗保健设备与服务,191.5011
430215.OC,必可测,北京,软件与服务,-633.5091
430216.OC,风格信息,上海,软件与服务,"-5,296.58"
430217.OC,掌众科技,广东,媒体与娱乐,"7,786.91"
430218.OC,一鑫达,天津,食品与主要用品零售,-536.2444
430219.OC,拓川股份,北京,能源,340.4693
430220.OC,迈达科技,天津,医疗保健设备与服务,"1,581.91"
430221.OC,风帆科技,湖北,原材料,"1,049.21"
430222.OC,璟泓科技,湖北,制药、生物科技和生命科学,"4,414.67"
430223.OC,亿童文教,湖北,媒体与娱乐,"13,404.00"
430224.OC,网动科技,北京,软件与服务,"1,206.87"
430225.OC,伊禾农品,上海,食品、饮料与烟草,"15,919.28"
430226.OC,奥凯立,北京,原材料,"2,364.45"
430228.OC,天房科技,天津,软件与服务,81.8006
430229.OC,绿岸网络,上海,软件与服务,"1,880.58"
430234.OC,翼捷股份,上海,技术硬件与设备,"4,711.64"
