证券代码,证券名称,省份,行业类别,2018净利润（万元）
833338.OC,康爱生物,北京,制药、生物科技和生命科学,-797.4371
833339.OC,胜软科技,山东,软件与服务,"2,510.70"
833340.OC,奥美森,广东,资本品,"3,219.79"
833341.OC,贵交科,贵州,商业和专业服务,"1,440.58"
833342.OC,滨江小贷,江苏,综合金融,766.4669
833345.OC,中标科技,江苏,耐用消费品与服装,-216.7678
833346.OC,威贸电子,上海,技术硬件与设备,"2,903.99"
833347.OC,三元环境,四川,商业和专业服务,523.3686
833348.OC,亿阳值通,江苏,软件与服务,136.0008
833349.OC,鼎隆智装,山西,资本品,554.0333
833351.OC,中奥汇成,北京,原材料,"-1,725.81"
833355.OC,崇德动漫,广东,媒体与娱乐,"-1,895.62"
833356.OC,瑞虹股份,浙江,汽车与汽车零部件,431.8993
833357.OC,斯贝尔,四川,耐用消费品与服装,-214.9805
833363.OC,华阳微电,广东,技术硬件与设备,-870.7654
833365.OC,民基生态,山西,商业和专业服务,"4,089.47"
833366.OC,ST利隆,上海,媒体与娱乐,"-7,303.10"
833367.OC,宝德利,广东,原材料,402.0548
833369.OC,朗尼科,广东,软件与服务,86.2865
833370.OC,运鹏股份,上海,资本品,"1,560.29"
833371.OC,蓝天燃气,河南,能源,"29,651.66"
833374.OC,东方股份,浙江,零售业,"9,314.19"
833377.OC,童石网络,上海,媒体与娱乐,"-21,338.60"
833378.OC,深深爱,广东,半导体产品与设备,93.0982
833379.OC,源和药业,安徽,制药、生物科技和生命科学,"5,124.04"
833381.OC,宏安翔,山西,资本品,413.3922
833382.OC,长江绿海,云南,资本品,202.8954
833383.OC,漯效王,河南,原材料,756.7465
833385.OC,康普盾,广东,技术硬件与设备,76.2319
833386.OC,安智物流,江西,资本品,-14.6862
833387.OC,湖北展朋,湖北,原材料,"2,486.19"
833388.OC,大源股份,江苏,资本品,413.1193
833390.OC,国德医疗,福建,医疗保健设备与服务,-266.8257
833391.OC,建成咨询,广东,商业和专业服务,"2,058.33"
833393.OC,速达科技,河南,汽车与汽车零部件,"-7,848.77"
833394.OC,民士达,山东,原材料,"1,635.71"
833395.OC,XD帕卓管,江苏,汽车与汽车零部件,317.9178
833396.OC,昱卓股份,河北,消费者服务,-353.6451
833399.OC,香哈网,北京,软件与服务,-232.5865
833402.OC,众引传播,上海,媒体与娱乐,"2,553.51"
833404.OC,飞日科技,广西,原材料,-896.9604
833407.OC,亚华医美,广东,商业和专业服务,840.9243
833408.OC,伊森新材,山东,原材料,222.1973
833410.OC,百味斋,四川,食品、饮料与烟草,"2,196.88"
833412.OC,帝瀚环保,江苏,资本品,350.5395
833414.OC,凡拓创意,广东,软件与服务,"4,105.77"
833420.OC,福藏股份,北京,媒体与娱乐,-249.2976
833421.OC,金利洁,辽宁,资本品,-4.3854
833422.OC,康海时代,安徽,技术硬件与设备,82.7769
833423.OC,穗晶光电,广东,技术硬件与设备,"3,482.61"
833424.OC,ST电庄,四川,资本品,-419.6445
833426.OC,先控电气,河北,技术硬件与设备,-263.4709
833427.OC,华维设计,江西,商业和专业服务,"3,713.23"
833428.OC,江大源,江苏,食品、饮料与烟草,"1,482.01"
833429.OC,康比特,北京,食品、饮料与烟草,"9,417.61"
833430.OC,八达科技,江苏,商业和专业服务,-792.8079
833431.OC,金海科技,湖北,原材料,-209.5051
833432.OC,国瑞环保,上海,商业和专业服务,107.3703
833433.OC,天保股份,贵州,商业和专业服务,166.1806
833434.OC,博锐斯,广东,原材料,362.2367
833439.OC,领先环保,江苏,商业和专业服务,14.6393
833440.OC,新鸿运,江苏,房地产,"1,835.17"
833441.OC,斯派力,广东,资本品,-916.8046
833442.OC,江苏铁科,江苏,汽车与汽车零部件,"10,192.41"
833443.OC,皇达科技,宁夏,原材料,93.4977
833444.OC,华恒股份,江苏,资本品,"3,384.80"
833446.OC,日升昌,浙江,银行,"-3,161.35"
833447.OC,凯力船艇,广东,资本品,"-1,889.88"
833449.OC,联达动力,北京,软件与服务,215.3146
833450.OC,奥立思特,江苏,资本品,"6,841.48"
833451.OC,璧合股份,北京,软件与服务,"2,749.54"
833453.OC,永创医药,江苏,原材料,"3,226.28"
833454.OC,同心传动,河南,汽车与汽车零部件,"1,506.50"
833455.OC,汇隆活塞,辽宁,资本品,"3,516.34"
833457.OC,云朵网,浙江,软件与服务,221.9434
833458.OC,悦为电商,江苏,零售业,"1,665.59"
833462.OC,华瑞农业,甘肃,食品、饮料与烟草,"2,201.54"
833464.OC,苏州沪云,江苏,制药、生物科技和生命科学,"-2,401.50"
833465.OC,特力惠,福建,软件与服务,"-1,452.36"
833467.OC,纳美新材,浙江,原材料,731.2294
833468.OC,双剑股份,湖北,资本品,"2,254.75"
833470.OC,泰聚泰,四川,软件与服务,269.2518
833472.OC,康润洁,新疆,原材料,"-1,848.26"
833473.OC,博丹环境,上海,商业和专业服务,323.812
833474.OC,利扬芯片,广东,半导体产品与设备,"1,614.01"
833475.OC,深蓝机器,山东,资本品,18.8338
833476.OC,点动科技,广东,软件与服务,609.1571
833477.OC,希德电子,陕西,技术硬件与设备,412.5833
833478.OC,侨益股份,广东,运输,"2,594.12"
833479.OC,朗德金燕,北京,资本品,610.5565
833480.OC,红旗民爆,陕西,原材料,999.7788
833481.OC,巨立股份,江苏,资本品,"-1,408.30"
833482.OC,能量传播,北京,媒体与娱乐,"-6,917.26"
833483.OC,凯科科技,上海,原材料,5.6258
833484.OC,万邦工具,湖北,资本品,821.7202
833485.OC,硕达科技,四川,软件与服务,-249.107
833486.OC,前程人力,广西,商业和专业服务,729.8753
833487.OC,东莞林氏,广东,食品、饮料与烟草,87.9513
833489.OC,美特安全,新疆,软件与服务,550.8074
833490.OC,佳讯创新,广东,耐用消费品与服装,160.6097
833491.OC,沧海核装,河北,资本品,"4,330.13"
833492.OC,奇石缘,四川,技术硬件与设备,701.7697
833493.OC,中岳非晶,河南,资本品,"1,436.71"
833494.OC,世纪金政,北京,软件与服务,60.7225
833495.OC,微瑞思创,北京,软件与服务,465.429
833496.OC,华安新材,黑龙江,耐用消费品与服装,115.4149
833497.OC,小田冷链,广东,运输,"1,689.88"
833499.OC,中国康富,北京,综合金融,"40,407.34"
833500.OC,光大教育,广东,软件与服务,"1,145.72"
833502.OC,联创投资,北京,综合金融,379.3426
833503.OC,花嫁丽舍,上海,消费者服务,"1,674.87"
833504.OC,骐俊股份,福建,软件与服务,"-2,495.58"
833505.OC,美的连,广东,医疗保健设备与服务,"3,174.98"
833506.OC,勤劳农夫,湖北,食品、饮料与烟草,231.5561
833507.OC,美安普,浙江,资本品,-949.5137
833509.OC,同惠电子,江苏,技术硬件与设备,"3,337.43"
833514.OC,中创发,浙江,媒体与娱乐,-442.6617
833515.OC,禾美农业,广西,食品、饮料与烟草,816.1882
833517.OC,策源股份,上海,房地产,"5,107.35"
833518.OC,人福药辅,湖北,医疗保健设备与服务,-557.5463
833519.OC,泉欣新材,上海,耐用消费品与服装,731.8092
833523.OC,德瑞锂电,广东,技术硬件与设备,"3,020.73"
833524.OC,光晟物联,广东,耐用消费品与服装,"-1,986.91"
833526.OC,北林科技,北京,资本品,"-6,992.74"
833528.OC,宁波中药,浙江,制药、生物科技和生命科学,448.8739
833529.OC,ST视纪,湖北,软件与服务,"-5,618.12"
833531.OC,博亚精工,湖北,资本品,"5,183.62"
833532.OC,福慧达,福建,食品与主要用品零售,"8,054.95"
833533.OC,骏创科技,江苏,汽车与汽车零部件,"2,296.66"
833534.OC,神玥软件,河北,软件与服务,"1,582.04"
833535.OC,新青年,浙江,媒体与娱乐,197.3081
833538.OC,中旭石化,辽宁,能源,-508.2686
833539.OC,大方生态,重庆,资本品,126.7265
833542.OC,达菲特,江苏,汽车与汽车零部件,760.7238
833543.OC,灵通股份,浙江,原材料,"2,192.38"
833547.OC,深华建设,广东,资本品,"4,118.95"
833548.OC,锐丰科技,广东,耐用消费品与服装,"4,249.35"
833549.OC,湾流股份,湖北,软件与服务,275.3688
833552.OC,威尔数据,山东,软件与服务,"1,104.44"
833555.OC,华南信息,四川,软件与服务,144.9465
833556.OC,施勒智能,上海,软件与服务,142.7442
833557.OC,中诺思,广东,软件与服务,"1,520.98"
833559.OC,亚太天能,广东,耐用消费品与服装,34.7547
833560.OC,东南电梯,江苏,资本品,-494.2876
833562.OC,金粮股份,山西,食品、饮料与烟草,-179.3736
833565.OC,方元资产,陕西,综合金融,-125.8817
833567.OC,和谐通航,云南,运输,-693.4523
833569.OC,蓝擎股份,宁夏,软件与服务,-265.5014
833570.OC,万全物流,福建,运输,-943.0871
833571.OC,锁龙消防,江苏,原材料,"1,102.53"
833572.OC,励福环保,广东,商业和专业服务,481.1543
833573.OC,蓝源传媒,四川,媒体与娱乐,-370.4711
833574.OC,爱知之星,北京,软件与服务,665.1137
833575.OC,康乐卫士,北京,制药、生物科技和生命科学,"-3,302.10"
833576.OC,金尚互联,北京,软件与服务,-50.4468
833579.OC,鼎盛精工,山东,能源,"-2,530.17"
833580.OC,科创新材,河南,原材料,"2,132.75"
833582.OC,华特信息,新疆,软件与服务,37.2752
833585.OC,千叶珠宝,北京,耐用消费品与服装,"5,506.70"
833586.OC,雷诺尔,上海,资本品,947.3443
833588.OC,九州方园,湖北,公用事业,"-3,786.61"
833590.OC,长庚新材,福建,耐用消费品与服装,128.9109
833594.OC,中斗科技,北京,软件与服务,"-3,243.99"
833595.OC,海尚环境,湖南,商业和专业服务,-318.2528
833596.OC,润康牧业,河北,食品、饮料与烟草,"-7,015.35"
833599.OC,营财保安,江苏,商业和专业服务,969.9322
833600.OC,红人股份,江苏,汽车与汽车零部件,-92.5214
833603.OC,澳森制衣,河北,耐用消费品与服装,649.8799
833604.OC,南广影视,浙江,媒体与娱乐,"-5,718.03"
833605.OC,ST龙视星,黑龙江,媒体与娱乐,"-6,641.40"
833606.OC,科迪光电,浙江,半导体产品与设备,460.756
833608.OC,二维碳素,江苏,原材料,"-1,230.28"
833609.OC,乐通通信,上海,技术硬件与设备,"-2,649.10"
833611.OC,镭之源,山东,技术硬件与设备,"1,463.84"
833612.OC,津云新媒,天津,软件与服务,"7,326.80"
833613.OC,华夏显示,安徽,技术硬件与设备,"1,297.65"
833614.OC,翼码科技,上海,软件与服务,104.0985
833615.OC,博雅智能,湖南,资本品,235.5284
833616.OC,金锂科技,江西,技术硬件与设备,"-4,869.30"
833617.OC,元本检测,浙江,商业和专业服务,-245.019
833618.OC,迪派无线,湖北,软件与服务,-535.5836
833619.OC,佰聆数据,广东,软件与服务,"1,172.28"
833620.OC,无锡煤机,江苏,资本品,"1,704.92"
833622.OC,正昌电子,陕西,汽车与汽车零部件,245.9629
833623.OC,胜高股份,河南,消费者服务,41.8372
833624.OC,维和药业,云南,制药、生物科技和生命科学,"4,813.14"
833627.OC,多尔克司,河南,食品、饮料与烟草,-137.6819
833628.OC,金山地质,山东,商业和专业服务,21.7341
833629.OC,合力亿捷,北京,软件与服务,"2,974.00"
833631.OC,汇通金融,江苏,软件与服务,392.6793
833632.OC,荣信教育,陕西,媒体与娱乐,"4,039.11"
833636.OC,邦瑞达,北京,技术硬件与设备,-38.4788
833637.OC,福建三星,福建,资本品,"3,677.09"
833640.OC,广州中崎,广东,技术硬件与设备,"1,080.79"
833645.OC,安联锐视,广东,耐用消费品与服装,"6,638.32"
833646.OC,百汇环保,河南,商业和专业服务,-891.1172
833648.OC,得轩堂,贵州,制药、生物科技和生命科学,71.3324
833649.OC,宝美户外,江苏,耐用消费品与服装,"-2,498.24"
833650.OC,美亚药业,浙江,制药、生物科技和生命科学,-464.9867
833651.OC,正大股份,江苏,汽车与汽车零部件,-560.8906
833652.OC,ST一恒贞,河南,原材料,"-2,863.71"
833653.OC,凯东源,广东,运输,"-3,086.41"
833654.OC,能拓股份,江苏,商业和专业服务,"3,904.00"
833655.OC,天虹数码,安徽,技术硬件与设备,189.4153
833656.OC,确成硅化,江苏,原材料,"27,087.38"
833657.OC,创力新能,河南,技术硬件与设备,208.6607
833658.OC,铁血科技,北京,软件与服务,-394.2923
833660.OC,腾瑞明,北京,软件与服务,"1,244.72"
833662.OC,大地生物,湖北,能源,-908.8247
833663.OC,百事泰,广东,零售业,"1,003.57"
833664.OC,威特龙,四川,技术硬件与设备,"1,741.28"
833665.OC,清大天达,北京,资本品,"2,332.64"
833668.OC,天力软件,四川,软件与服务,134.0555
833669.OC,携泰健康,安徽,医疗保健设备与服务,"2,734.52"
833670.OC,易康云,北京,软件与服务,-288.8693
833671.OC,邦诚电信,上海,资本品,"1,827.99"
833672.OC,中创洁能,辽宁,公用事业,"-2,019.49"
833675.OC,环宇科技,河南,原材料,954.9785
833676.OC,宇方工业,山东,资本品,703.9144
833678.OC,南方阀门,湖南,资本品,229.5052
833680.OC,一览网络,广东,软件与服务,"1,439.91"
833681.OC,辰泰科技,湖南,技术硬件与设备,58.3164
833682.OC,福特科,福建,技术硬件与设备,"5,137.64"
833683.OC,吉联新软,上海,软件与服务,"2,335.21"
833684.OC,联赢激光,广东,资本品,"8,339.57"
833686.OC,顺昊生物,天津,制药、生物科技和生命科学,-200.8715
833687.OC,中拓石油,河南,能源,-167.6559
833689.OC,架桥资本,广东,综合金融,644.5544
833691.OC,宏洲新材,四川,原材料,35.2854
833693.OC,华邦科技,山东,汽车与汽车零部件,562.8284
833694.OC,新道科技,海南,软件与服务,"8,934.69"
833696.OC,张江超艺,上海,消费者服务,305.0172
833697.OC,上海未来,上海,商业和专业服务,64.8239
833699.OC,联网科技,四川,软件与服务,82.3346
833700.OC,阿斯克,浙江,原材料,716.3095
833701.OC,坚力科技,江苏,技术硬件与设备,122.7236
833703.OC,瑞光科技,江苏,耐用消费品与服装,-482.7178
833704.OC,千里马,湖北,资本品,"5,443.85"
833705.OC,中孚达,江苏,耐用消费品与服装,-483.4
833706.OC,博远高科,广东,技术硬件与设备,-543.3937
833707.OC,精华股份,浙江,汽车与汽车零部件,"1,054.27"
833710.OC,风雷网络,吉林,媒体与娱乐,-573.5941
833711.OC,卓易科技,上海,软件与服务,"-5,890.24"
833712.OC,观堂设计,四川,资本品,"1,570.31"
833713.OC,立德电子,四川,医疗保健设备与服务,"1,014.39"
833715.OC,凯世光研,广东,资本品,"-1,702.53"
833716.OC,天工科技,河南,原材料,"1,264.60"
833717.OC,华彦邦,北京,资本品,131.4808
833719.OC,宏发新材,江苏,原材料,"8,352.30"
833720.OC,网信联动,广东,软件与服务,"-3,216.11"
833722.OC,巨科新材,浙江,资本品,"2,032.08"
833723.OC,三江并流,云南,食品、饮料与烟草,150.8632
833724.OC,威尔弗,广东,汽车与汽车零部件,-23.6865
833726.OC,蜂派科技,浙江,媒体与娱乐,-3.0614
833727.OC,兆晟科技,浙江,技术硬件与设备,"1,277.49"
833730.OC,金旅环保,湖南,商业和专业服务,103.1855
833731.OC,默锐环境,山东,商业和专业服务,451.7438
833734.OC,华唐新材,河南,资本品,-584.0486
833735.OC,森井科技,浙江,耐用消费品与服装,-259.0596
833736.OC,中塑在线,浙江,软件与服务,291.9797
833737.OC,望湘园,上海,消费者服务,"1,434.45"
833740.OC,音锋股份,上海,资本品,136.4843
833741.OC,腾轩旅游,北京,消费者服务,"1,456.93"
833742.OC,天秦装备,河北,原材料,"6,117.66"
833743.OC,东邦御厨,北京,消费者服务,203.1514
833745.OC,恐龙园,江苏,消费者服务,"8,680.31"
833746.OC,宏中药业,湖北,制药、生物科技和生命科学,-866.9591
833747.OC,广厦环能,北京,资本品,"4,959.15"
833748.OC,奥图股份,山东,资本品,"1,300.79"
833751.OC,惠同新材,湖南,原材料,"1,700.15"
833753.OC,超音速,广东,资本品,776.8955
833755.OC,扬德环境,北京,公用事业,"5,494.99"
833757.OC,天力锂能,河南,原材料,"4,079.49"
833760.OC,天然谷,陕西,原材料,583.4802
833763.OC,原态农业,浙江,食品、饮料与烟草,"-2,288.94"
833764.OC,斯达电气,浙江,资本品,"4,549.00"
833765.OC,爱扑网络,上海,软件与服务,211.8299
833767.OC,五轮科技,广东,耐用消费品与服装,167.932
833768.OC,上海寰创,上海,技术硬件与设备,391.7556
833769.OC,中泰环保,浙江,资本品,171.0256
833770.OC,宏伟供应,浙江,商业和专业服务,"2,283.64"
833772.OC,天蓝环保,浙江,商业和专业服务,"-2,622.72"
833774.OC,创建达一,上海,软件与服务,-78.1139
833777.OC,棠棣信息,上海,软件与服务,"-5,622.56"
833778.OC,山东环保,山东,商业和专业服务,118.9037
833779.OC,奥科斯特,广东,资本品,"1,202.84"
833781.OC,瑞奇工程,四川,原材料,"1,155.72"
833782.OC,天锐医药,广西,食品与主要用品零售,-148.5986
833783.OC,源培生物,上海,制药、生物科技和生命科学,-94.0477
833784.OC,美福润,北京,食品与主要用品零售,"3,464.02"
833785.OC,递蓝科,北京,软件与服务,150.2023
833786.OC,超纯环保,广东,商业和专业服务,"1,790.24"
833789.OC,ST贵之步,湖南,耐用消费品与服装,87.3806
833791.OC,和道传媒,北京,媒体与娱乐,7.169
833795.OC,十方环能,山东,商业和专业服务,"3,446.54"
833796.OC,骅锋科技,广东,软件与服务,218.8513
833801.OC,金信瑞通,北京,软件与服务,-49.7134
833802.OC,希尔化工,浙江,原材料,142.0015
833804.OC,康威通信,山东,软件与服务,776.3005
833807.OC,华鸿科技,天津,医疗保健设备与服务,"2,841.48"
833809.OC,白山国旅,吉林,消费者服务,-892.4793
833810.OC,睿博光电,重庆,汽车与汽车零部件,"-19,180.20"
833811.OC,中新股份,辽宁,软件与服务,248.7199
833813.OC,中超环保,江苏,商业和专业服务,41.6293
833814.OC,德润达,广东,资本品,225.5022
833815.OC,嘉友互联,山东,软件与服务,24.7417
833816.OC,志成股份,安徽,商业和专业服务,149.9325
833818.OC,威克曼,江苏,资本品,-771.6155
833819.OC,颖泰生物,北京,原材料,"46,087.51"
833821.OC,浦江股份,江苏,原材料,"1,918.67"
833822.OC,铭慧股份,广东,资本品,80.2017
833823.OC,综桓能源,湖北,公用事业,"1,111.76"
833824.OC,九久科技,河南,资本品,842.928
833827.OC,浩腾科技,浙江,软件与服务,"4,138.19"
833828.OC,新视野,广东,软件与服务,"1,128.02"
833830.OC,蓝宝股份,北京,资本品,-280.527
833831.OC,鲁华泓锦,山东,原材料,"6,675.50"
833832.OC,追日电气,湖北,资本品,"-11,216.38"
833833.OC,美天生物,湖北,制药、生物科技和生命科学,"1,851.87"
833835.OC,天鸿设计,海南,商业和专业服务,"3,336.61"
833836.OC,盛祥电子,江西,技术硬件与设备,123.9256
833837.OC,恒沣农贷,江苏,综合金融,"1,053.47"
833838.OC,美世创投,山东,综合金融,"-2,132.71"
833839.OC,天波信息,广东,技术硬件与设备,"2,210.12"
833840.OC,永安期货,浙江,综合金融,"97,647.16"
833842.OC,天艺传媒,福建,媒体与娱乐,131.6774
833843.OC,正新农贷,江苏,银行,"2,137.85"
833844.OC,智德安全,山西,商业和专业服务,"1,040.82"
833846.OC,中正股份,江苏,商业和专业服务,-284.9993
833847.OC,狂龙数字,上海,软件与服务,201.6358
833848.OC,光宇股份,山西,半导体产品与设备,"-5,209.74"
833849.OC,携宁科技,上海,软件与服务,-427.3654
833851.OC,景云祥,四川,软件与服务,889.7535
833852.OC,清软创新,北京,软件与服务,169.9197
833855.OC,三楷深发,河北,原材料,"1,593.75"
833857.OC,时光科技,上海,软件与服务,"-5,671.63"
833858.OC,信中利,北京,综合金融,"69,080.73"
833859.OC,国能新材,广东,原材料,939.8382
833861.OC,麦可思,四川,消费者服务,"4,259.18"
833863.OC,道盾科技,上海,商业和专业服务,-418.3741
833864.OC,灵汇股份,浙江,资本品,"1,062.16"
833865.OC,凯盛家纺,江苏,耐用消费品与服装,"1,187.74"
833866.OC,紫翔生物,重庆,食品与主要用品零售,627.446
833867.OC,中盈创世,新疆,资本品,2.8187
833871.OC,昌德微电,江苏,半导体产品与设备,190.9755
833872.OC,卓信数据,北京,软件与服务,910.487
833873.OC,中设股份,重庆,商业和专业服务,"1,300.92"
833874.OC,泰祥股份,湖北,汽车与汽车零部件,"9,051.36"
833876.OC,宁鑫生科,宁夏,原材料,-732.0853
833877.OC,万得福,浙江,耐用消费品与服装,"1,017.92"
833880.OC,中城投资,上海,综合金融,"25,611.34"
833881.OC,一森园林,河北,原材料,"3,484.19"
833882.OC,汉印股份,江苏,资本品,-745.1074
833884.OC,博高信息,四川,技术硬件与设备,613.7535
833886.OC,万达业,广东,资本品,-309.1506
833887.OC,庞泰环保,江西,资本品,636.9063
833889.OC,雪阳坯衫,河南,耐用消费品与服装,"-1,210.29"
833892.OC,艺能传媒,浙江,媒体与娱乐,——
833893.OC,ST恒宇,安徽,技术硬件与设备,-778.5896
833896.OC,海诺尔,四川,商业和专业服务,"7,077.01"
833898.OC,聚芯芯片,上海,技术硬件与设备,-35.0892
833899.OC,菁英时代,广东,综合金融,115.6163
833901.OC,壮元海,辽宁,食品、饮料与烟草,313.6224
833902.OC,琪瑜光电,上海,技术硬件与设备,"-1,455.34"
833903.OC,杭真能源,浙江,资本品,552.2689
833906.OC,卡宝宝,广东,软件与服务,-496.3703
833907.OC,倍智测聘,广东,商业和专业服务,48.8745
833908.OC,比科斯,广东,耐用消费品与服装,"-5,052.08"
833909.OC,中丹建业,北京,软件与服务,-227.4318
833914.OC,远航合金,江苏,原材料,"3,832.11"
833918.OC,融安特,北京,软件与服务,751.2057
833921.OC,文胜生物,安徽,原材料,"1,059.27"
833922.OC,丰源智控,河北,技术硬件与设备,27.2863
833923.OC,华辰净化,江苏,资本品,454.326
833924.OC,ST华讯,辽宁,综合金融,"-6,395.96"
833925.OC,兴业源,北京,房地产,"1,378.80"
833927.OC,宁宇科技,广东,资本品,148.909
833928.OC,火谷网络,北京,媒体与娱乐,"-3,623.64"
833929.OC,康大医疗,浙江,制药、生物科技和生命科学,389.0343
833930.OC,通海绒业,陕西,耐用消费品与服装,"1,550.59"
833932.OC,奥雷德,云南,技术硬件与设备,"15,768.30"
833934.OC,震宇科技,山东,技术硬件与设备,99.7393
833935.OC,明游天下,北京,消费者服务,-899.7852
833936.OC,百味佳,广东,食品、饮料与烟草,"4,732.01"
833937.OC,嘉诚信息,吉林,软件与服务,"1,152.43"
833938.OC,天狐创意,上海,商业和专业服务,"-1,345.92"
833939.OC,御康医疗,上海,医疗保健设备与服务,2.155
833941.OC,伊悦尼,浙江,汽车与汽车零部件,-783.327
833943.OC,优机股份,四川,资本品,"3,522.50"
833945.OC,滨江科贷,江苏,银行,"2,403.05"
833947.OC,同为电气,黑龙江,资本品,-14.3007
833949.OC,正发股份,辽宁,资本品,34.828
833953.OC,唯思软件,广东,媒体与娱乐,-46.0177
833954.OC,飞天经纬,北京,软件与服务,"1,110.90"
833955.OC,盈丰软件,浙江,软件与服务,571.5396
833956.OC,三和生物,江苏,医疗保健设备与服务,14.3608
833960.OC,华发教育,河北,软件与服务,"2,574.03"
833961.OC,通发股份,北京,消费者服务,-317.5278
833962.OC,方富资本,北京,综合金融,"-2,583.82"
833963.OC,安澳智能,江苏,技术硬件与设备,-560.1129
833965.OC,科创股份,广西,汽车与汽车零部件,-882.6954
833966.OC,国电康能,北京,公用事业,"10,146.57"
833967.OC,万极科技,广东,原材料,909.8016
833969.OC,江淮园艺,安徽,食品、饮料与烟草,835.0057
833970.OC,广盛小贷,新疆,综合金融,731.9525
833972.OC,司南导航,上海,技术硬件与设备,"1,380.81"
833976.OC,新游网络,福建,软件与服务,"2,383.72"
833977.OC,悠派科技,安徽,原材料,"1,224.55"
833978.OC,龙广传媒,黑龙江,媒体与娱乐,"1,782.07"
833979.OC,天图投资,广东,综合金融,"-135,768.08"
833980.OC,博伊特,江苏,资本品,152.476
833981.OC,凯威检测,广东,商业和专业服务,170.7376
833982.OC,龙腾农贷,江苏,银行,711.857
833983.OC,一品鲜蔬,山东,食品与主要用品零售,2.1344
833984.OC,民太安,广东,保险,910.8866
833985.OC,三方股份,湖南,运输,-254.8753
833988.OC,中成发展,江苏,资本品,"2,617.76"
833991.OC,趋势传媒,北京,媒体与娱乐,28.3012
833993.OC,ST茂余,重庆,技术硬件与设备,——
833994.OC,翰博高新,安徽,技术硬件与设备,"8,716.71"
833995.OC,黄河文化,山东,消费者服务,"-2,400.31"
833996.OC,花集网,浙江,软件与服务,-588.3902
833997.OC,巴鲁特,浙江,耐用消费品与服装,309.5646
833998.OC,久银控股,北京,综合金融,"-8,321.35"
833999.OC,昆机器人,江苏,资本品,-392.7033
834000.OC,国鑫农贷,江苏,综合金融,"2,102.40"
834001.OC,鼎宏保险,浙江,保险,"1,366.63"
834002.OC,易构软件,山东,软件与服务,"-1,487.37"
834003.OC,挖金客,北京,软件与服务,"6,153.96"
834004.OC,新乡日升,河南,资本品,"2,197.32"
834005.OC,松湖股份,广东,资本品,102.9964
834008.OC,群鑫科技,江苏,原材料,445.6974
834010.OC,亚兴科技,黑龙江,商业和专业服务,131.9099
834012.OC,浦敏科技,上海,软件与服务,601.887
834014.OC,特瑞斯,江苏,能源,"4,263.29"
834016.OC,易二零,北京,商业和专业服务,"1,594.47"
834017.OC,方心健康,上海,制药、生物科技和生命科学,163.1185
834018.OC,尚宝罗,江苏,资本品,110.1817
834019.OC,大自然,浙江,原材料,"4,519.99"
834020.OC,东霖食品,辽宁,食品、饮料与烟草,——
834021.OC,流金岁月,北京,媒体与娱乐,"5,427.47"
834022.OC,华枫股份,湖北,资本品,"-4,463.60"
834026.OC,武新股份,湖北,原材料,"3,374.14"
834031.OC,群大科技,浙江,食品、饮料与烟草,"2,027.00"
834033.OC,康普化学,重庆,原材料,180.8873
834036.OC,ST立特,上海,媒体与娱乐,"-2,543.87"
834037.OC,龙盛世纪,北京,软件与服务,"3,003.47"
834038.OC,诚信小贷,安徽,银行,"1,082.00"
834040.OC,华信电气,辽宁,资本品,609.8637
834041.OC,上海恒业,上海,原材料,"1,504.62"
834042.OC,欣宇科技,福建,耐用消费品与服装,601.7884
834043.OC,杭科光电,浙江,半导体产品与设备,"2,713.33"
834044.OC,富泰和,广东,汽车与汽车零部件,"3,894.86"
834045.OC,清众科技,山西,软件与服务,"1,051.27"
834046.OC,金锐同创,北京,软件与服务,"1,164.81"
834048.OC,蓝灯数据,上海,软件与服务,-924.9654
834049.OC,建科股份,江苏,商业和专业服务,"2,104.49"
834050.OC,天润园景,福建,资本品,743.5959
834051.OC,汇隆精密,河南,资本品,-221.0723
834054.OC,游戏多,上海,媒体与娱乐,"-3,787.02"
834056.OC,伟恒生物,陕西,食品、饮料与烟草,——
834058.OC,华洋赛车,浙江,汽车与汽车零部件,"1,517.63"
834060.OC,营邑股份,上海,商业和专业服务,"2,514.99"
834062.OC,科润智控,浙江,资本品,"3,263.54"
834063.OC,卡车之家,北京,软件与服务,"1,487.07"
834065.OC,合凯电气,安徽,资本品,"1,692.74"
834066.OC,大统体育,内蒙古,零售业,-60.781
834067.OC,华勤互联,西藏,商业和专业服务,625.2434
834068.OC,蓝氧科技,广东,医疗保健设备与服务,-784.0728
834069.OC,金通科技,浙江,软件与服务,"4,390.83"
834071.OC,首键药包,重庆,原材料,180.0052
834072.OC,德隆股份,江苏,汽车与汽车零部件,"2,926.90"
834073.OC,隆和节能,山东,资本品,"-1,136.12"
834076.OC,海森环保,广东,商业和专业服务,441.5414
834077.OC,新智视讯,天津,软件与服务,-258.5872
834078.OC,盛唐文娱,北京,商业和专业服务,-458.5133
834080.OC,中嘉实业,四川,资本品,-496.0079
834081.OC,通领科技,上海,汽车与汽车零部件,"4,418.99"
834082.OC,中建信息,北京,软件与服务,"21,584.02"
834084.OC,聚能鼎力,北京,媒体与娱乐,-499.8083
834085.OC,春秋园林,新疆,资本品,-185.6478
834086.OC,德泓国际,宁夏,耐用消费品与服装,——
834087.OC,慈玺珠宝,广东,耐用消费品与服装,-22.1959
834088.OC,恒通液压,浙江,资本品,209.0063
