2018年净利润均值表,半导体产品与设备,,保险,,电信业务,,房地产,,公用事业,,技术硬件与设备,,家庭与个人用品,,零售业,,媒体与娱乐,,耐用消费品与服装,,能源,,汽车与汽车零部件,,软件与服务,,商业和专业服务,,食品、饮料与烟草,,食品与主要用品零售,,消费者服务,,医疗保健设备与服务,,银行,,原材料,,运输,,制药、生物科技和生命科学,,资本品,,综合金融,,平均值项:2018年净利润（万元）汇总,计数项:证券代码汇总
辽宁,17019.22003,1,1544.985079,1,,,,,-1968.179478,4,-319.7326578,12,,,-2.570627667,3,-343.4366312,5,-135.6188985,4,-164.8340233,3,132.022957,2,793.1624949,33,707.1980137,15,-1121.947028,16,1000.959407,1,230.9364573,3,983.4815503,4,504.356932,1,1051.030573,24,-66.9187665,2,12210.37296,5,1273.93407,43,-772.328687,4,920.6337277,186
内蒙古,,,,,,,46.699889,1,-1098.825786,1,-10.035856,2,,,5761.615743,2,-2425.696948,1,,,3794.478797,1,,,338.2463605,6,107.5686117,3,1736.924768,15,,,1202.786605,4,1504.073779,1,,,1095.06509,8,-69.29739,2,3740.656046,2,1946.943828,9,,,1375.963143,58
宁夏,,,,,,,2683.465135,1,4129.632157,1,50.963365,1,,,,,-312.739345,2,256.866288,2,,,,,-608.8565386,9,2027.281816,6,593.2943538,12,,,,,-3277.231855,1,,,1341.583494,8,129.724268,1,717.642509,1,543.9978564,8,,,633.7259283,53
青海,,,,,,,,,4778.648751,1,,,,,,,,,,,,,,,,,3050.563826,1,539.758745,1,,,-1140.980107,1,,,,,-5407.552017,1,,,4136.369709,1,-7014.44709,1,,,-151.091169,7
山东,1474.982754,1,879.6233065,4,940.16422,1,767.4299563,4,1035.502043,9,924.9272772,34,-148.6724453,3,135.3706611,8,270.6216775,13,301.5560038,18,-158.9889089,15,724.3583336,20,999.5782904,76,559.4201169,44,1122.657771,28,-633.6672345,4,608.9420194,9,916.7220264,22,109448.9852,2,1793.362891,90,881.4446463,13,854.9913412,15,680.2887846,118,-1812.658519,3,1276.237638,554
山西,-5209.738203,1,,,568.130089,1,616.931341,1,,,90.91106167,3,,,-60.9989315,2,484.274504,2,,,2796.212234,1,,,671.0861224,14,966.4180435,15,1256.213756,8,,,-1120.775923,1,151.745714,2,-657.058004,1,2056.918272,15,,,1571.588264,3,643.5074914,14,,,911.7963097,84
陕西,,,,,-4879.599474,1,1072.480587,6,229.1436203,5,594.6577765,22,,,17.627635,2,8866.04158,9,553.204714,3,1042.857874,3,267.369823,3,297.6404898,21,592.5972597,11,1062.10389,6,,,5891.511819,4,902.742844,1,,,8477.163983,14,,,763.4598142,5,1264.518251,28,1574.561713,2,2115.109829,146
上海,320.3267158,13,-6438.741558,2,-454.718003,2,-3403.181927,7,1899.418973,4,546.3855062,71,153.614373,2,803.5963489,20,-661.1808475,52,902.0265647,21,931.7273385,4,1468.232026,9,288.8204484,184,606.8340004,98,2553.765923,12,686.8808437,3,759.7564108,17,776.1714072,19,,,744.4181785,52,483.3844935,10,-6509.488262,16,995.7083007,115,8154.950048,9,446.2891925,742
四川,855.621831,1,375.821018,1,,,3800.314377,5,1374.147058,4,494.6528736,30,,,-33727.05194,2,-106.1379715,8,-2903.798266,5,51.62149667,3,1009.34583,7,281.4082433,58,1419.703747,30,-78.67790987,15,-42.4682165,2,2074.811911,5,819.0077355,8,,,1479.568608,25,3471.553337,2,736.6917188,15,439.7743234,49,,,421.8177701,275
天津,,,1483.352303,1,,,-113.315463,1,28.91508,1,962.67608,6,40.987864,1,305.7104647,3,283.318321,6,732.7156795,6,516.9063577,6,939.326274,1,156.4332346,24,743.7101131,27,541.288001,2,-536.24438,1,526.6479223,3,2469.018492,5,,,514.7082523,17,526.9063119,8,3893.71203,9,482.8589927,36,,,743.7052281,164
西藏,,,,,,,,,106.423753,1,,,,,,,1263.083416,3,28060.13579,1,,,,,2945.590954,2,3372.289323,3,1553.495339,2,,,-209.8184375,2,,,,,1377.873277,2,,,,,,,,,3337.935001,16
新疆,,,,,,,149.96377,1,67.82718333,3,,,152.372011,1,41.473344,1,,,,,1601.827471,7,,,556.1189293,10,1027.586621,5,-234.3869851,12,,,1381.118938,6,-48.8678785,2,8067.168669,1,-544.0273023,9,,,2162.770482,2,2226.569326,13,731.952511,1,860.0381886,74
云南,,,-886.743292,1,,,813.026947,1,258.710441,1,15768.30222,1,,,154.497872,1,-417.019813,3,134.948443,1,,,,,380.3538988,10,229.3779019,10,184.5368898,11,,,-3112.098493,4,-223.3943475,2,,,693.4308197,9,497.823853,3,1759.924205,8,-1651.403088,14,,,111.4727957,80
浙江,-117.202379,6,-365.9514485,2,,,2376.380227,7,562.2237121,7,201.1648509,54,122.5608644,5,1218.190701,25,-564.967395,30,118.0066486,60,,,766.8175466,26,834.3675644,101,972.0206619,65,560.3486946,27,-795.684046,2,812.5348183,12,1232.941538,9,815.3995732,5,1534.449394,111,2843.362381,10,1407.194511,22,811.0962324,205,15874.53303,7,962.3647539,798
重庆,,,,,,,,,-3326.799329,2,-1064.843645,11,,,1177.076308,2,-220.7861702,10,783.01673,1,1824.058656,2,-1549.255306,6,-167.5263086,15,957.8287046,13,1021.056661,4,627.445962,1,210.0242018,6,-2.2760435,4,-19541.05643,1,471.4591187,15,1617.575944,4,1562.6717,2,-317.8338525,15,6574.670347,1,-63.02552392,115
总计,297.2833626,82,-72.05306072,25,67.84796084,19,945.5382762,80,669.1721412,91,653.7888641,786,645.5368944,37,114.3023545,184,-62.38548007,414,544.6836567,364,1356.377751,88,771.9805474,192,402.8725362,1645,835.7277606,928,777.136851,419,580.7570242,45,949.3894418,212,968.4586834,239,11945.14843,31,1043.257729,1059,1128.570187,137,956.7844947,269,615.6017177,1742,5899.218728,78,742.9283814,9166
